Reference	ID	Tags	Quote	Occurrence	Question	Response
5:7	dknz				What are the people saying about sin?	They are saying their fathers sinned and they bear their fathers’ sins.
5:8	p40y				What are the people saying about the slaves?	The people are saying the slaves rule over them and there is no one to rescue them.
5:9	tx33				How do they describe themselves when they go out to get bread?	They risk their lives to get bread in the face of the sword in the wilderness.
5:10	imrj				How do they describe their skin?	Their skin is like an oven and burnt up from the fever of famine.
5:11	ooh3				What happened to the women and virgins?	The women of Zion and the virgins of the cities of Judah were raped.
5:12	o1i3				What happened to the princes and the elders?	The princes were hung by their hands and the elders were not honored.
5:13	r3bv				What happened to the vigorous men and youthful men?	The vigorous men were brought up to the grinding house and the youthful men staggered beneath logs.
5:14	rfnb				What happened to the elders and the vigorous men?	The elders were removed from the city gate and the vigorous men from their music.
5:15-16	b35p				How do they describe the joy of their heart, their dances, and their crown?	Their joy has ceased, their dances have changed into mourning, and the crown has fallen from their head.
5:17	tgsk				What do they say about their hearts and eyes?	Their hearts have become sick and their eyes have grown dim.
5:19	fowu				What do they say about Yahweh’s reign and throne?	Yahweh reigns forever and his throne is from generation to generation.
5:20-21	qtfi				What do they ask Yahweh?	They ask Yahweh whether he is forgetting them forever, and if he will turn them back to him.
